Song,Start Build,4 Measures,Drop,Breakdown,End Breakdown,Key,Tempo
A Fine Way to Die ft. Orlando Napier,02:52.7,03:02.0,03:13.6,04:35.2,04:53.8,5A,103
Dungeon Sound (Original Mix),00:00.0,00:09.4,00:18.8,01:15.3,01:31.8,2A,102
Finally Moving,02:16.9,02:26.5,02:36.1,03:14.5,03:28.9,12A,100
Get Down ft. Sunsquabi and Manic Focus,00:54.8,01:05.7,01:14.4,02:24.3,02:27.6,11A,110
Good Times Roll,00:19.2,00:48.0,00:57.6,01:36.0,01:45.6,2A,100
Hard Times,01:26.2,01:39.2,01:49.6,03:31.1,03:39.2,1A,92
High School Art Class,02:05.7,02:34.9,02:43.9,03:55.6,04:11.3,8A,107
Hit That Jive (Original Mix),00:00.3,00:29.1,00:38.7,01:17.1,01:55.5,6A ,100
Hot Like Sauce,01:28.1,01:38.7,01:49.4,02:53.4,03:01.4,7A ,90
I Can See It In Your Face,01:45.6,02:31.2,02:38.4,02:57.6,03:16.8,5A ,100
Just Jammin' (Original Mix),04:19.2,04:48.6,04:59.2,05:41.9,06:03.2,2A,90
Lonely & Cold,00:00.0,00:18.4,00:28.4,01:29.4,01:48.4,11A,96
muy tranquilo original mix,00:00.0,01:09.8,01:20.5,02:45.8,03:17.8,8A ,90
Skylight,00:00.0,00:00.2,00:10.9,01:57.4,03:22.8,9A ,90
Smash The Funk ,00:18.7,00:28.0,00:37.3,01:14.6,01:21.6,3A,103
So Much For Love,02:40.0,02:49.5,02:58.9,03:36.5,03:53.0,1A,102
So Much In The Dark,00:00.0,00:21.4,00:32.1,02:18.6,02:29.5,7A ,90
The Anthem ft. Mike Avery,02:08.7,02:13.0,02:22.4,03:13.9,03:26.7,9A,103
Total Fascination,00:00.0,00:15.5,00:25.6,02:11.7,02:19.3,7A,95
While I Was Playin' Fair,00:00.0,00:10.1,00:20.0,02:03.9,03:16.1,2A,97
