Song,Start Build,4 Measures,Drop,Breakdown,End Breakdown,Key,Tempo
+1,00:00.0,00:14.2,00:22.3,01:08.4,01:39.1,9A,125
Bad (Radio Edit),00:00.0,00:37.6,00:45.1,01:41.3,02:00.1,4A,128
Blame,00:07.6,00:48.8,00:56.3,01:11.3,01:40.3,5A,128
Clarity (feat. Foxes),00:39.4,01:01.9,01:09.4,01:54.4,02:01.9,5B,128
Greyhound (Original Mix),02:47.7,02:55.3,03:02.9,04:34.3,04:42.0,6A,126
Harmony (Radio Edit),00:41.4,01:03.9,01:11.4,01:41.4,01:45.1,3A,128
Hey Brother,01:03.5,01:40.0,01:47.6,02:22.2,02:51.0,6A,125
How Deep Is Your Love,00:56.4,00:58.3,01:06.2,01:23.9,01:35.7,9A,122
I Could be The One(Original Mix),01:00.1,02:20.7,02:28.2,02:54.5,03:20.7,11A,128
I Want You To Know,00:00.0,01:14.4,01:21.7,01:50.7,01:57.9,8A,133
Levels (Original Mix),01:07.6,02:32.0,02:37.6,03:52.6,04:00.0,12A,128
Outside (Original Mix),01:54.6,02:17.1,02:24.6,02:39.6,02:54.6,7A,128
Runaway,00:00.0,00:58.6,01:06.1,01:36.1,02:12.6,3B,128
Spectrum,01:02.1,01:09.5,01:16.9,01:46.4,01:53.8,5A,130
Stay The Night ft. Hayley Williams [Official Audio],00:43.1,00:50.2,00:57.3,01:25.7,02:10.1,11B,135
Ten Feet Tall (Extended Mix),01:38.4,02:16.2,02:23.8,02:54.0,03:12.9,8A,127
The Nights,00:31.2,00:54.1,01:01.7,01:17.7,01:47.4,2A,126
Turn Up The Speakers,00:00.0,00:29.9,00:37.2,01:07.0,01:12.5,4A,129
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
